"SK_ID_CURR","TARGET","NAME_CONTRACT_TYPE","CODE_GENDER","FLAG_OWN_CAR","FLAG_OWN_REALTY","CNT_CHILDREN","AMT_INCOME_TOTAL","AMT_CREDIT","AMT_ANNUITY","AMT_GOODS_PRICE","NAME_INCOME_TYPE","NAME_EDUCATION_TYPE","NAME_FAMILY_STATUS","NAME_HOUSING_TYPE","REGION_POPULATION_RELATIVE","DAYS_BIRTH","DAYS_EMPLOYED","DAYS_REGISTRATION","DAYS_ID_PUBLISH","FLAG_MOBIL","FLAG_EMP_PHONE","FLAG_WORK_PHONE","FLAG_CONT_MOBILE","FLAG_PHONE","FLAG_EMAIL","CNT_FAM_MEMBERS","REGION_RATING_CLIENT","REGION_RATING_CLIENT_W_CITY","WEEKDAY_APPR_PROCESS_START","HOUR_APPR_PROCESS_START","REG_REGION_NOT_LIVE_REGION","REG_REGION_NOT_WORK_REGION","LIVE_REGION_NOT_WORK_REGION","REG_CITY_NOT_LIVE_CITY","REG_CITY_NOT_WORK_CITY","LIVE_CITY_NOT_WORK_CITY","ORGANIZATION_TYPE","DAYS_LAST_PHONE_CHANGE","NAME_TYPE_SUITE","OCCUPATION_TYPE"
195589,0,"Cash loans","F","N","N",0,99000,855000,30420,855000,"Working","Secondary / secondary special","Married","Rented apartment",0.006671,-20594,-2107,-694,-2009,1,1,0,1,0,0,2,2,2,"WEDNESDAY",12,0,0,0,0,0,0,"Government",-465,"Unaccompanied",NA
288707,0,"Cash loans","M","Y","Y",0,450000,540000,56835,540000,"Working","Higher education","Married","House / apartment",0.026392,-10941,-4026,-910,-3215,1,1,0,1,0,0,2,2,2,"FRIDAY",18,0,0,0,0,0,0,"Construction",-425,"Unaccompanied","Managers"
204276,0,"Cash loans","F","Y","Y",0,315000,781920,47965.5,675000,"Commercial associate","Higher education","Civil marriage","House / apartment",0.00963,-13210,-1465,-2788,-4620,1,1,0,1,0,0,2,2,2,"THURSDAY",9,0,0,0,0,0,0,"Trade: type 7",-246,"Unaccompanied","Managers"
340815,0,"Cash loans","F","N","Y",0,112500,805536,31945.5,720000,"State servant","Secondary / secondary special","Married","House / apartment",0.022625,-18354,-1153,-9786,-1911,1,1,1,1,1,0,2,2,2,"THURSDAY",10,0,0,0,0,0,0,"Medicine",-1848,"Unaccompanied","Managers"
203296,0,"Cash loans","M","N","Y",1,67500,50940,5089.5,45000,"Working","Secondary / secondary special","Married","House / apartment",0.019101,-19670,-4690,-6024,-3202,1,1,1,1,1,0,3,2,2,"TUESDAY",12,0,0,0,0,0,0,"Industry: type 3",-310,"Unaccompanied","Core staff"
305873,0,"Cash loans","F","N","Y",0,157500,201474,19624.5,189000,"Working","Secondary / secondary special","Single / not married","House / apartment",0.04622,-23107,-6599,-11585,-1983,1,1,1,1,1,0,1,1,1,"FRIDAY",11,0,0,0,0,0,0,"Business Entity Type 2",-2843,"Family",NA
232913,0,"Cash loans","M","N","Y",0,90000,463284,22662,382500,"Working","Secondary / secondary special","Married","House / apartment",0.020713,-10134,-1563,-10126,-2719,1,1,0,1,1,0,2,3,3,"SATURDAY",9,0,0,0,0,0,0,"Business Entity Type 2",-822,"Spouse, partner",NA
340906,0,"Cash loans","M","Y","Y",0,112500,497520,33376.5,450000,"Working","Secondary / secondary special","Married","House / apartment",0.008575,-12780,-1862,-6800,-3995,1,1,1,1,0,0,2,2,2,"TUESDAY",16,0,1,1,0,1,1,"Security",-1195,"Unaccompanied",NA
318966,1,"Cash loans","F","N","N",0,175500,808650,31464,675000,"Working","Secondary / secondary special","Civil marriage","House / apartment",0.00712,-8761,-379,-2613,-1418,1,1,0,1,0,0,2,2,2,"TUESDAY",9,1,1,0,1,1,0,"Construction",-579,"Unaccompanied","Laborers"
197115,0,"Cash loans","F","Y","N",0,270000,2517300,66532.5,2250000,"Working","Higher education","Married","House / apartment",0.00823,-12367,-2092,-2174,-4400,1,1,0,1,0,0,2,2,2,"WEDNESDAY",11,0,0,0,0,0,0,"Industry: type 4",-3,"Unaccompanied","Sales staff"
246574,0,"Cash loans","M","Y","Y",1,189000,1006920,39933,9e+05,"Working","Secondary / secondary special","Married","House / apartment",0.04622,-11381,-233,-5960,-3534,1,1,1,1,1,0,3,1,1,"FRIDAY",17,0,0,0,0,1,1,"Business Entity Type 3",-1599,"Unaccompanied","Laborers"
